GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maeven,default,Ejercicio3Test,0,48,0,0,0,11,0,2,0,2
maeven,default,Ejercicio3,0,21,0,8,0,10,0,9,0,2
